index,expected_raw,expected,label_alias_applied,predicted,confidence,top1_correct,topk_contains_expected,expected_in_vocab,input_frames,effective_frames,elapsed_sec,error,file,top_k_labels
1,간호사,간호사,False,마스크,0.7103694081306458,False,False,True,64,64,4.719,,/home/moon/Downloads/self-made-60/간호사.mp4,마스크 | 재택근무 | 흩어지다 | 예식장 | 총회
2,갈등,갈등,False,갈등,0.9977204203605652,True,True,True,53,53,3.539,,/home/moon/Downloads/self-made-60/갈등.mp4,갈등 | 실망 | 옥천군수어통역센터 | 이기주의 | 경남농아인협회
3,갈색,갈색,False,등지다,0.5606018304824829,False,False,True,48,48,3.285,,/home/moon/Downloads/self-made-60/갈색.mp4,등지다 | 새 | 탕진 | 방법 | 의왕시청
4,감동,감동,False,휴학,0.30853715538978577,False,False,True,55,55,3.781,,/home/moon/Downloads/self-made-60/감동.mp4,휴학 | 칠십오억 | 3.1절 | 드러나다 | 받다
5,거지,거지,False,백억,0.8763080835342407,False,False,True,64,64,4.281,,/home/moon/Downloads/self-made-60/거지.mp4,백억 | 서울특별시농아인협회 | 이백억 | 검사 | 오백억
6,결혼,결혼,False,남자,0.9928953051567078,False,False,True,61,61,4.064,,/home/moon/Downloads/self-made-60/결혼.mp4,남자 | 떨다 | 믿다 | 밤나무 | 떨다2
7,경비실,경비실,False,백억,0.3745020627975464,False,False,True,64,64,9.801,,/home/moon/Downloads/self-made-60/경비실.mp4,백억 | 파헤치다 | 쓰다 | 문화유산 | 몸
8,고민,고민,False,칠십오억,0.6685997247695923,False,False,True,61,61,5.739,,/home/moon/Downloads/self-made-60/고민.mp4,칠십오억 | 구십오억 | 팔십오억 | 삼백이십 | 변비
9,골절,골절,False,기피하다,0.3983989357948303,False,False,True,64,64,4.361,,/home/moon/Downloads/self-made-60/골절.mp4,기피하다 | 남부터미널 | 무의미 | 용품 | 장난
10,골짜기,골짜기,False,골짜기,0.7902368903160095,True,True,True,49,49,3.39,,/home/moon/Downloads/self-made-60/골짜기.mp4,골짜기 | 여객선 | 생계 | 당진시청 | 찔리다
11,공범,공범,False,백억,0.31063708662986755,False,False,True,64,64,4.369,,/home/moon/Downloads/self-made-60/공범.mp4,백억 | 파헤치다 | 장려하다 | 실천 | 노부모
12,교수,교수,False,사하구주민지원센터,0.7604342699050903,False,False,True,60,60,4.377,,/home/moon/Downloads/self-made-60/교수.mp4,사하구주민지원센터 | 안성시지부 | 용사 | 빈혈 | 구리시지부
13,교제,교제,False,장려하다,0.21332044899463654,False,True,True,54,54,3.756,,/home/moon/Downloads/self-made-60/교제.mp4,장려하다 | 사직 | 교제 | 잠옷 | 예정
14,금연,금연,False,등지다,0.632758617401123,False,False,True,48,48,3.256,,/home/moon/Downloads/self-made-60/금연.mp4,등지다 | 새 | 탕진 | 의왕시청 | 방법
15,기린,기린,False,다리,0.9749587178230286,False,False,True,54,54,3.674,,/home/moon/Downloads/self-made-60/기린.mp4,다리 | 추출 | 쓰다 | 달래다 | 소극적
16,기분,기분,False,등지다,0.3563080430030823,False,False,True,57,57,3.755,,/home/moon/Downloads/self-made-60/기분.mp4,등지다 | 8번째 | 의왕시청 | 새 | 독신
17,까마귀,까마귀,False,포기,0.42132237553596497,False,False,True,64,64,4.215,,/home/moon/Downloads/self-made-60/까마귀.mp4,포기 | 새똥 | 삼백억 | 사백억 | 새집
18,깨끗하다,깨끗하다,False,등지다,0.6926054954528809,False,False,True,49,49,3.354,,/home/moon/Downloads/self-made-60/깨끗하다.mp4,등지다 | 새 | 탕진 | 방법 | 까마귀
19,꼬마,꼬마,False,독신,0.3747481405735016,False,False,True,53,53,3.592,,/home/moon/Downloads/self-made-60/꼬마.mp4,독신 | 성토 | 군포시지부 | 군포시수어통역센터 | 어색하다
20,꿀벌,꿀벌,False,등지다,0.6317898631095886,False,False,True,57,57,3.92,,/home/moon/Downloads/self-made-60/꿀벌.mp4,등지다 | 새 | 탕진 | 방법 | 까마귀
21,나누다,나누다,False,칠십오억,0.09421905130147934,False,False,True,45,45,3.198,,/home/moon/Downloads/self-made-60/나누다.mp4,칠십오억 | 몸 | 사백억 | 추출 | 암살
22,낚시,낚시,False,다리,0.9894912242889404,False,False,True,56,56,3.948,,/home/moon/Downloads/self-made-60/낚시.mp4,다리 | 무의미 | 추출 | 쓰다 | 자유
23,남녀,남녀,False,등지다,0.7366369366645813,False,False,True,58,58,3.933,,/home/moon/Downloads/self-made-60/남녀.mp4,등지다 | 새 | 탕진 | 방법 | 까마귀
24,남자,남자,False,거지,0.6611424684524536,False,False,True,52,52,3.681,,/home/moon/Downloads/self-made-60/남자.mp4,거지 | 샛길 | 회원 | 여공 | 연구
25,노래,노래,False,등지다,0.6688103675842285,False,False,True,63,63,4.281,,/home/moon/Downloads/self-made-60/노래.mp4,등지다 | 새 | 탕진 | 방법 | 방도
26,노르웨이,노르웨이,False,등지다,0.6225652098655701,False,False,True,47,47,3.223,,/home/moon/Downloads/self-made-60/노르웨이.mp4,등지다 | 새 | 탕진 | 의왕시청 | 방법
27,누나,누나,False,아주버님,0.39715826511383057,False,False,True,64,64,4.42,,/home/moon/Downloads/self-made-60/누나.mp4,아주버님 | 오빠 | 교가 | 애처 | 가수
28,당황,당황,False,무의미,0.8982353210449219,False,False,True,64,64,4.258,,/home/moon/Downloads/self-made-60/당황.mp4,무의미 | 수성구주민지원센터 | 다리 | 십일 | 수성구수어통역센터
29,대기업,대기업,False,사십오억,0.5856892466545105,False,False,True,64,64,4.406,,/home/moon/Downloads/self-made-60/대기업.mp4,사십오억 | 이십오억 | 러시아 | 회사 | 어린이날
30,매형,매형,False,금천,0.467197984457016,False,False,True,61,61,4.088,,/home/moon/Downloads/self-made-60/매형.mp4,금천 | 한명 | 확답 | 서울대학교 | 구로구수어통역센터
31,머리,머리,False,머리,0.9937267303466797,True,True,True,64,64,4.319,,/home/moon/Downloads/self-made-60/머리.mp4,머리 | 똑똑하다 | 머리카락 | 갈색 | 턱
32,머리카락,머리카락,False,머리,0.8732870817184448,False,True,True,64,64,4.206,,/home/moon/Downloads/self-made-60/머리카락.mp4,머리 | 머리카락 | 이마 | 턱 | 추억
33,먹구름,먹구름,False,먹구름,0.9998946189880371,True,True,True,64,64,4.341,,/home/moon/Downloads/self-made-60/먹구름.mp4,먹구름 | 판박이 | 오리알 | 환갑 | 모범생
34,며느리,며느리,False,배려,0.9644041061401367,False,False,True,62,62,4.195,,/home/moon/Downloads/self-made-60/며느리.mp4,배려 | 설거지 | 처남 | 금천 | 소심
35,면역,면역,False,삼십오억,0.4671315848827362,False,False,True,58,58,3.986,,/home/moon/Downloads/self-made-60/면역.mp4,삼십오억 | 사십오억 | 사백오십만 | 구십오억 | 저택
36,모범생,모범생,False,삼백억,0.892733633518219,False,False,True,64,64,4.317,,/home/moon/Downloads/self-made-60/모범생.mp4,삼백억 | 사백억 | 칠십오억 | 사억오천만 | 답답
37,무궁화,무궁화,False,장학,0.958192765712738,False,False,True,64,64,4.367,,/home/moon/Downloads/self-made-60/무궁화.mp4,장학 | 광업 | 밀고 | 전염 | 울진군수어통역센터
38,무지개,무지개,False,등지다,0.5203497409820557,False,False,True,47,47,3.248,,/home/moon/Downloads/self-made-60/무지개.mp4,등지다 | 새 | 탕진 | 방법 | 까마귀
39,물약,물약,False,떨다,0.24433764815330505,False,False,True,55,55,3.777,,/home/moon/Downloads/self-made-60/물약.mp4,떨다 | 삼백억 | 이백억 | 근근이 | 콧물
40,미군,미군,False,칠십오억,0.375058114528656,False,False,True,56,56,3.916,,/home/moon/Downloads/self-made-60/미군.mp4,칠십오억 | 구십오억 | 사백억 | 백오십칠 | 팔십오억
41,미녀,미녀,False,남편,0.9867653846740723,False,False,True,53,53,3.666,,/home/moon/Downloads/self-made-60/미녀.mp4,남편 | 백사십이 | 시집 | 여객선 | 연꽃
42,미소,미소,False,어른,0.43195441365242004,False,False,True,39,39,2.8,,/home/moon/Downloads/self-made-60/미소.mp4,어른 | 금요일 | 소지자 | 밤샘 | 분주하다
43,바다,바다,False,넘기다,0.4027945101261139,False,False,True,57,57,3.85,,/home/moon/Downloads/self-made-60/바다.mp4,넘기다 | 생활 | 삼십오억 | 백억 | 낳다
44,바람,바람,False,바람,0.9928603768348694,True,True,True,50,50,3.492,,/home/moon/Downloads/self-made-60/바람.mp4,바람 | 견문 | 포기 | 휴학 | 홍수
45,받다,받다,False,제부,0.5028632283210754,False,False,True,53,53,3.74,,/home/moon/Downloads/self-made-60/받다.mp4,제부 | 사백억 | 이십오억 | 탕진 | 사천오백만
46,발견,발견,False,사직,0.3512890338897705,False,False,True,55,55,3.961,,/home/moon/Downloads/self-made-60/발견.mp4,사직 | 달리다 | 양산시지부 | 교제 | 무념무상
